index,RS_all,RS_clinical
phastCons470way_mammalian_pred,0.031,0.023
phastCons100way_vertebrate_pred,0.031,0.023
MutationTaster_pred,0.070,0.078
GenoCanyon_pred,0.142,0.137
GM12878_fitCons_pred,0.189,0.234
H1-hESC_fitCons_pred,0.214,0.262
HUVEC_fitCons_pred,0.222,0.262
GERP++_pred,0.230,0.219
fathmm-MKL_coding_pred,0.236,0.227
phastCons17way_primate_pred,0.246,0.266
SiPhy_pred,0.249,0.262
bStatistic_pred,0.258,0.328
integrated_fitCons_pred,0.271,0.309
M-CAP_pred,0.301,0.250
FATHMM_pred,0.302,0.332
DANN_pred,0.313,0.348
PrimateAI_pred,0.324,0.359
fathmm-XF_coding_pred,0.350,0.352
MPC_pred,0.359,0.422
LIST-S2_pred,0.379,0.383
CADD_pred,0.404,0.383
Eigen-PC_pred,0.410,0.367
LRT_pred,0.423,0.418
MutFormer_pred,0.455,0.539
Polyphen2_HDIV_pred,0.457,0.375
PhDSNP_pred,0.474,0.488
ClinPred_pred,0.493,0.480
Eigen_pred,0.497,0.434
PONP2_pred,0.498,0.523
MVP_pred,0.501,0.543
DEOGEN2_pred,0.520,0.578
UNEECON_pred,0.522,0.582
SIFT_pred,0.532,0.441
MetaLR_pred,0.537,0.570
Envision_pred,0.538,0.496
Polyphen2_HVAR_pred,0.547,0.453
MutationAssessor_pred,0.552,0.520
MetaSVM_pred,0.570,0.594
InMeRF_pred,0.575,0.621
SIGMA_pred,0.608,0.730
MutPred_pred,0.614,0.645
LASSIE_pred,0.617,0.625
ESM1b_pred,0.626,0.590
MISTIC_pred,0.628,0.660
SuSPect_pred,0.642,0.543
VEST4_pred,0.646,0.637
CAPICE_pred,0.651,0.652
SIFT4G_pred,0.655,0.598
BayesDel_addAF_pred,0.660,0.625
ESM1v_pred,0.669,0.660
PROVEAN_pred,0.671,0.629
BayesDel_noAF_pred,0.686,0.680
REVEL_pred,0.699,0.727
gMVP_pred,0.709,0.773
MetaRNN_pred,0.732,0.695
MutScore_pred,0.734,0.758
CPT_pred,0.751,0.738
EVE_pred,0.760,0.727
DeepSAV_pred,0.766,0.742
VARITY_R_pred,0.766,0.766
VARITY_R_LOO_pred,0.770,0.766
VESPA_pred,0.782,0.730
VARITY_ER_pred,0.800,0.770
VARITY_ER_LOO_pred,0.803,0.773
AlphaMissense_pred,0.824,0.781
